;Aasta;..investeeringud, tuhat eurot;..tulud piletimüügist, tuhat eurot;Arvestuslikud inimtööaastad;Halduskulud, tuhat eurot;Costs and investments (thousands of euros);Muud kulud, tuhat eurot;Muud toetused, tuhat eurot;Omatulud, tuhat eurot;Tulud omavalitsuse eelarvest, tuhat eurot;Tulud riigieelarvest, tuhat eurot;Revenue (thousands of euros);Tööjõukulud, tuhat eurot
Aasta;1.0;-0.7315288440545062;0.7158320439467911;0.7540571243767777;0.40829139758497424;0.8363557099318725;0.5416956189344349;0.49800054441425806;0.7278843327494731;-0.20592336893277435;0.8281379145742616;0.7668859960684389;0.8473437113880098
..investeeringud, tuhat eurot;-0.7315288440545062;1.0;0.6623945993410861;-0.5524343355770518;0.9926833637960514;-0.20452748322395045;-0.2187774293751496;0.6105359782484057;0.6845637281346808;-0.06951361373123567;-0.6319242645320985;-0.2896271415282693;-0.41857447859134705
..tulud piletimüügist, tuhat eurot;0.7158320439467911;0.6623945993410861;1.0;-0.3023472884903632;0.571935117355624;0.9235201239777371;0.7139711270477757;0.6562391396489402;0.921539921001114;-0.040145393505427916;0.756052216874375;0.8495453432823395;0.9218410853740087
Arvestuslikud inimtööaastad;0.7540571243767777;-0.5524343355770518;-0.3023472884903632;1.0;-0.6072755657506141;0.25459882611435075;-0.5368629953898244;0.08041904492692034;-0.3541957325428638;-0.01321712223759498;0.19234820074211226;-0.5286155575600292;0.35914338500129767
Halduskulud, tuhat eurot;0.40829139758497424;0.9926833637960514;0.571935117355624;-0.6072755657506141;1.0;0.48828310935698543;0.3330417729025837;0.45786193123827856;0.4801427102567435;-0.028603320834544737;0.4180000330081337;0.4489135080364979;0.4913286914453825
Costs and investments (thousands of euros);0.8363557099318725;-0.20452748322395045;0.9235201239777371;0.25459882611435075;0.48828310935698543;1.0;0.8510525300156547;0.5156436609157596;0.9609658549134922;-0.09690745575225228;0.9411814675352912;0.9598507753139242;0.9254863651364097
Muud kulud, tuhat eurot;0.5416956189344349;-0.2187774293751496;0.7139711270477757;-0.5368629953898244;0.3330417729025837;0.8510525300156547;1.0;0.2840290320868382;0.8943706493739801;-0.22972061081192302;0.8825396651638103;0.9373824040691506;0.6173811694093182
Muud toetused, tuhat eurot;0.49800054441425806;0.6105359782484057;0.6562391396489402;0.08041904492692034;0.45786193123827856;0.5156436609157596;0.2840290320868382;1.0;0.47257972327518044;0.09280915916518596;0.340185251692132;0.45459194580355144;0.583443787579716
Omatulud, tuhat eurot;0.7278843327494731;0.6845637281346808;0.921539921001114;-0.3541957325428638;0.4801427102567435;0.9609658549134922;0.8943706493739801;0.47257972327518044;1.0;-0.2121342269390778;0.8883044360666013;0.9460088568028485;0.8326512941508961
Tulud omavalitsuse eelarvest, tuhat eurot;-0.20592336893277435;-0.06951361373123567;-0.040145393505427916;-0.01321712223759498;-0.028603320834544737;-0.09690745575225228;-0.22972061081192302;0.09280915916518596;-0.2121342269390778;1.0;-0.15746778697475708;-0.1968398810887797;0.031266149295882464
Tulud riigieelarvest, tuhat eurot;0.8281379145742616;-0.6319242645320985;0.756052216874375;0.19234820074211226;0.4180000330081337;0.9411814675352912;0.8825396651638103;0.340185251692132;0.8883044360666013;-0.15746778697475708;1.0;0.9451012772947832;0.7875415839562921
Revenue (thousands of euros);0.7668859960684389;-0.2896271415282693;0.8495453432823395;-0.5286155575600292;0.4489135080364979;0.9598507753139242;0.9373824040691506;0.45459194580355144;0.9460088568028485;-0.1968398810887797;0.9451012772947832;1.0;0.8267141767997209
Tööjõukulud, tuhat eurot;0.8473437113880098;-0.41857447859134705;0.9218410853740087;0.35914338500129767;0.4913286914453825;0.9254863651364097;0.6173811694093182;0.583443787579716;0.8326512941508961;0.031266149295882464;0.7875415839562921;0.8267141767997209;1.0
